body, x, y, z
neptune,16.0402,-25.5062,0.1556
sun,0.0001,-0.0023,0.0000
jupiter,4.8771,0.8197,-0.1126
saturn,7.5496,5.3305,-0.3929
uranus,13.6255,-14.4936,-0.2305
neptune,16.0498,-25.5000,0.1552
sun,0.0001,-0.0023,0.0000
jupiter,4.8720,0.8482,-0.1126
saturn,7.5368,5.3471,-0.3927
uranus,13.6359,-14.4844,-0.2306
neptune,16.0595,-25.4938,0.1549
sun,0.0001,-0.0023,0.0000
jupiter,4.8668,0.8767,-0.1126
saturn,7.5239,5.3637,-0.3925
uranus,13.6462,-14.4752,-0.2307
neptune,16.0691,-25.4876,0.1545
sun,0.0001,-0.0024,0.0000
jupiter,4.8614,0.9051,-0.1126
saturn,7.5109,5.3802,-0.3923
uranus,13.6566,-14.4660,-0.2308
neptune,16.0787,-25.4813,0.1542
sun,0.0002,-0.0024,0.0000
jupiter,4.8558,0.9335,-0.1126
saturn,7.4980,5.3968,-0.3920
uranus,13.6669,-14.4567,-0.2309
neptune,16.0883,-25.4751,0.1538
sun,0.0002,-0.0024,0.0000
jupiter,4.8501,0.9619,-0.1126
saturn,7.4850,5.4133,-0.3918
uranus,13.6773,-14.4475,-0.2310
neptune,16.0980,-25.4689,0.1535
sun,0.0002,-0.0025,0.0000
jupiter,4.8442,0.9903,-0.1126
saturn,7.4719,5.4297,-0.3916
uranus,13.6876,-14.4382,-0.2311
neptune,16.1076,-25.4627,0.1531
sun,0.0002,-0.0025,0.0000
jupiter,4.8382,1.0186,-0.1126
saturn,7.4588,5.4462,-0.3913
uranus,13.6979,-14.4290,-0.2312
neptune,16.1172,-25.4564,0.1528
sun,0.0002,-0.0025,0.0000
jupiter,4.8320,1.0469,-0.1126
saturn,7.4457,5.4626,-0.3911
uranus,13.7082,-14.4197,-0.2313
neptune,16.1268,-25.4502,0.1524
sun,0.0002,-0.0026,0.0000
jupiter,4.8257,1.0751,-0.1125
saturn,7.4325,5.4790,-0.3909
uranus,13.7185,-14.4105,-0.2314
neptune,16.1364,-25.4440,0.1521
sun,0.0002,-0.0026,0.0000
jupiter,4.8192,1.1034,-0.1125
saturn,7.4193,5.4954,-0.3906
uranus,13.7288,-14.4012,-0.2315
neptune,16.1460,-25.4377,0.1517
sun,0.0002,-0.0026,0.0000
jupiter,4.8125,1.1315,-0.1125
saturn,7.4061,5.5117,-0.3904
uranus,13.7391,-14.3919,-0.2316
neptune,16.1557,-25.4315,0.1514
sun,0.0002,-0.0027,0.0000
jupiter,4.8057,1.1597,-0.1124
saturn,7.3928,5.5280,-0.3901
uranus,13.7494,-14.3826,-0.2317
neptune,16.1653,-25.4252,0.1510
sun,0.0002,-0.0027,0.0000
jupiter,4.7987,1.1878,-0.1124
saturn,7.3795,5.5443,-0.3899
uranus,13.7597,-14.3733,-0.2318
neptune,16.1749,-25.4190,0.1507
sun,0.0002,-0.0027,0.0000
jupiter,4.7916,1.2159,-0.1123
saturn,7.3662,5.5606,-0.3897
uranus,13.7700,-14.3640,-0.2319
neptune,16.1845,-25.4127,0.1503
sun,0.0003,-0.0028,0.0000
jupiter,4.7843,1.2439,-0.1123
saturn,7.3528,5.5768,-0.3894
uranus,13.7802,-14.3547,-0.2320
neptune,16.1941,-25.4065,0.1500
sun,0.0003,-0.0028,0.0000
jupiter,4.7769,1.2719,-0.1122
saturn,7.3394,5.5930,-0.3892
uranus,13.7905,-14.3454,-0.2321
neptune,16.2037,-25.4002,0.1496
sun,0.0003,-0.0028,0.0000
jupiter,4.7693,1.2998,-0.1122
saturn,7.3259,5.6092,-0.3889
uranus,13.8007,-14.3361,-0.2322
neptune,16.2133,-25.3940,0.1493
sun,0.0003,-0.0029,0.0000
jupiter,4.7615,1.3277,-0.1121
saturn,7.3124,5.6253,-0.3886
uranus,13.8110,-14.3267,-0.2323
neptune,16.2228,-25.3877,0.1489
sun,0.0003,-0.0029,0.0000
jupiter,4.7536,1.3556,-0.1121
saturn,7.2989,5.6414,-0.3884
uranus,13.8212,-14.3174,-0.2324
neptune,16.2324,-25.3814,0.1486
sun,0.0003,-0.0029,0.0000
jupiter,4.7455,1.3834,-0.1120
saturn,7.2853,5.6575,-0.3881
uranus,13.8314,-14.3080,-0.2325
neptune,16.2420,-25.3751,0.1482
sun,0.0003,-0.0030,0.0000
jupiter,4.7373,1.4112,-0.1119
saturn,7.2717,5.6736,-0.3879
uranus,13.8417,-14.2987,-0.2326
neptune,16.2516,-25.3689,0.1479
sun,0.0003,-0.0030,0.0000
jupiter,4.7289,1.4389,-0.1119
saturn,7.2581,5.6896,-0.3876
uranus,13.8519,-14.2893,-0.2327
neptune,16.2612,-25.3626,0.1475
sun,0.0003,-0.0030,0.0000
jupiter,4.7204,1.4666,-0.1118
saturn,7.2444,5.7056,-0.3873
uranus,13.8621,-14.2800,-0.2328
neptune,16.2708,-25.3563,0.1472
sun,0.0004,-0.0031,0.0000
jupiter,4.7117,1.4942,-0.1117
saturn,7.2307,5.7216,-0.3871
uranus,13.8723,-14.2706,-0.2329
neptune,16.2804,-25.3500,0.1468
sun,0.0004,-0.0031,0.0000
jupiter,4.7029,1.5218,-0.1116
saturn,7.2169,5.7375,-0.3868
uranus,13.8825,-14.2612,-0.2330
neptune,16.2899,-25.3437,0.1465
sun,0.0004,-0.0031,0.0000
jupiter,4.6939,1.5493,-0.1115
saturn,7.2031,5.7534,-0.3865
uranus,13.8927,-14.2518,-0.2331
neptune,16.2995,-25.3374,0.1461
sun,0.0004,-0.0032,0.0000
